size,case,cond,sensitivity
Large,2,Hg+Ni,0.21
Large,3,Hg+Ni,0.88
Large,4,Hg+Ni,0.18
Large,5,Hg+Ni,0.76
Large,6,As+Cd,0.04
Large,7,As+Cd,0.57
Large,8,As+Cd,0
Large,9,As+Cd,0.03
Large,10,Co+Ni,0.03
Large,11,Co+Ni,0.52
Large,12,Co+Ni,0
Large,13,Co+Ni,0.05
Large,14,Hg by Ni+Tl,0
Large,14,Ni by Tl+Hg,0.01
Large,14,Tl by Hg+Ni,0
Large,15,Hg by Ni+Tl,0
Large,15,Ni by Tl+Hg,0.01
Large,15,Tl by Hg+Ni,0
Large,16,Hg by Ni+Tl,0.01
Large,16,Ni by Tl+Hg,0
Large,16,Tl by Hg+Ni,0
Large,17,Hg by Ni+Tl,0.08
Large,17,Ni by Tl+Hg,0
Large,17,Tl by Hg+Ni,0.09
Small,2,Hg+Ni,0.01
Small,3,Hg+Ni,0.11
Small,4,Hg+Ni,0.01
Small,5,Hg+Ni,0.03
Small,6,As+Cd,0
Small,7,As+Cd,0.01
Small,8,As+Cd,0
Small,9,As+Cd,0
Small,10,Co+Ni,0.01
Small,11,Co+Ni,0.02
Small,12,Co+Ni,0
Small,13,Co+Ni,0
Small,14,Hg by Ni+Tl,0.01
Small,14,Ni by Tl+Hg,0
Small,14,Tl by Hg+Ni,0
Small,15,Hg by Ni+Tl,0.02
Small,15,Ni by Tl+Hg,0.01
Small,15,Tl by Hg+Ni,0
Small,16,Hg by Ni+Tl,0.01
Small,16,Ni by Tl+Hg,0.01
Small,16,Tl by Hg+Ni,0
Small,17,Hg by Ni+Tl,0.01
Small,17,Ni by Tl+Hg,0.01
Small,17,Tl by Hg+Ni,0
