mod,case,size,var,sign,sensitivity
Naive MLR,1,Large,As,FALSE,0.08
Naive MLR,1,Large,Cd,FALSE,0.03
Naive MLR,1,Large,Co,FALSE,0.07
Naive MLR,1,Large,Hg,TRUE,1
Naive MLR,1,Large,Mo,FALSE,0.06
Naive MLR,1,Large,Ni,TRUE,1
Naive MLR,1,Large,Pb,FALSE,0.05
Naive MLR,1,Large,Sb,TRUE,0.4
Naive MLR,1,Large,Sn,TRUE,0.78
Naive MLR,1,Large,Tl,FALSE,0.02
Naive MLR,1,Small,As,FALSE,0.05
Naive MLR,1,Small,Cd,FALSE,0.05
Naive MLR,1,Small,Co,FALSE,0.04
Naive MLR,1,Small,Hg,TRUE,0.84
Naive MLR,1,Small,Mo,FALSE,0.04
Naive MLR,1,Small,Ni,TRUE,0.69
Naive MLR,1,Small,Pb,FALSE,0.12
Naive MLR,1,Small,Sb,TRUE,0.14
Naive MLR,1,Small,Sn,TRUE,0.27
Naive MLR,1,Small,Tl,FALSE,0.07
Naive MLR,2,Large,As,FALSE,0.05
Naive MLR,2,Large,Cd,FALSE,0.06
Naive MLR,2,Large,Co,FALSE,0.09
Naive MLR,2,Large,Hg,TRUE,1
Naive MLR,2,Large,Mo,FALSE,0.09
Naive MLR,2,Large,Ni,TRUE,0.99
Naive MLR,2,Large,Pb,FALSE,0.04
Naive MLR,2,Large,Sb,TRUE,0.42
Naive MLR,2,Large,Sn,TRUE,0.74
Naive MLR,2,Large,Tl,FALSE,0.04
Naive MLR,2,Small,As,FALSE,0.03
Naive MLR,2,Small,Cd,FALSE,0.07
Naive MLR,2,Small,Co,FALSE,0.04
Naive MLR,2,Small,Hg,TRUE,0.79
Naive MLR,2,Small,Mo,FALSE,0.1
Naive MLR,2,Small,Ni,TRUE,0.7
Naive MLR,2,Small,Pb,FALSE,0.04
Naive MLR,2,Small,Sb,TRUE,0.09
Naive MLR,2,Small,Sn,TRUE,0.25
Naive MLR,2,Small,Tl,FALSE,0.04
Naive MLR,3,Large,As,FALSE,0.02
Naive MLR,3,Large,Cd,FALSE,0.04
Naive MLR,3,Large,Co,FALSE,0.07
Naive MLR,3,Large,Hg,TRUE,1
Naive MLR,3,Large,Mo,FALSE,0.04
Naive MLR,3,Large,Ni,TRUE,1
Naive MLR,3,Large,Pb,FALSE,0.04
Naive MLR,3,Large,Sb,TRUE,0.44
Naive MLR,3,Large,Sn,TRUE,0.67
Naive MLR,3,Large,Tl,FALSE,0.05
Naive MLR,3,Small,As,FALSE,0.06
Naive MLR,3,Small,Cd,FALSE,0.05
Naive MLR,3,Small,Co,FALSE,0.09
Naive MLR,3,Small,Hg,TRUE,0.93
Naive MLR,3,Small,Mo,FALSE,0.06
Naive MLR,3,Small,Ni,TRUE,0.7
Naive MLR,3,Small,Pb,FALSE,0.07
Naive MLR,3,Small,Sb,TRUE,0.2
Naive MLR,3,Small,Sn,TRUE,0.25
Naive MLR,3,Small,Tl,FALSE,0.05
Naive MLR,4,Large,As,FALSE,0.04
Naive MLR,4,Large,Cd,FALSE,0.04
Naive MLR,4,Large,Co,FALSE,0.04
Naive MLR,4,Large,Hg,TRUE,1
Naive MLR,4,Large,Mo,FALSE,0.05
Naive MLR,4,Large,Ni,TRUE,1
Naive MLR,4,Large,Pb,FALSE,0.08
Naive MLR,4,Large,Sb,TRUE,0.52
Naive MLR,4,Large,Sn,TRUE,0.76
Naive MLR,4,Large,Tl,FALSE,0.04
Naive MLR,4,Small,As,FALSE,0.05
Naive MLR,4,Small,Cd,FALSE,0.01
Naive MLR,4,Small,Co,FALSE,0.08
Naive MLR,4,Small,Hg,TRUE,0.99
Naive MLR,4,Small,Mo,FALSE,0.05
Naive MLR,4,Small,Ni,TRUE,0.71
Naive MLR,4,Small,Pb,FALSE,0.07
Naive MLR,4,Small,Sb,TRUE,0.18
Naive MLR,4,Small,Sn,TRUE,0.33
Naive MLR,4,Small,Tl,FALSE,0.06
