case,size,sensitivity,mod,inter_type,effect_size
14,Large,0.805,Oracle,Multiplicative,Lower
14,Small,0.5866666666666667,Oracle,Multiplicative,Lower
15,Large,0.975,Oracle,Multiplicative,Higher
15,Small,0.6933333333333334,Oracle,Multiplicative,Higher
16,Large,0.815,Oracle,Polynomial,Lower
16,Small,0.5516666666666666,Oracle,Polynomial,Lower
17,Large,0.975,Oracle,Polynomial,Higher
17,Small,0.6866666666666666,Oracle,Polynomial,Higher
14,Large,0.01,BKMR,Multiplicative,Lower
14,Small,0.01,BKMR,Multiplicative,Lower
15,Large,0.01,BKMR,Multiplicative,Higher
15,Small,0.02,BKMR,Multiplicative,Higher
16,Large,0.01,BKMR,Polynomial,Lower
16,Small,0.01,BKMR,Polynomial,Lower
17,Large,0.13,BKMR,Polynomial,Higher
17,Small,0.01,BKMR,Polynomial,Higher
14,Large,0,BSR,Multiplicative,Lower
14,Small,0,BSR,Multiplicative,Lower
15,Large,0.01,BSR,Multiplicative,Higher
15,Small,0,BSR,Multiplicative,Higher
16,Large,0,BSR,Polynomial,Lower
16,Small,0,BSR,Polynomial,Lower
17,Large,0,BSR,Polynomial,Higher
17,Small,0,BSR,Polynomial,Higher
